Area,1958,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.34,,,,,,19.96,,,,,,16.32,,,,,,,,,,19.96
Luxembourg,,,,,,,,,,,,2.886,,,,,3.5239999999999996,,,,,3.292,,,,,5.556,,,,,,,,,,4.685,,,,5.0169999999999995,,,,,,,,,,,,,3.69,,,,3.648,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,13.64,,,,,,,,,,,,,,,,11.19,,,,,,11.35,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08,,,,,,,,17.09,,,17.51,,,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,,,,,,2.812,,,,4.77,,,,,5.744,,,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33,,,,,,,,,,,,,,,,,,,,,15.67,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.099,,,,,,,,,,,,,,,,,,,8.003,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,39.6,,,,,,,,,,,,,,,58.42,,,,,,,67.33,,,,,64.95,,,,,33.66,,,,82.97,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,7.172000000000001,,,,,,,,,,,,,,,,,,,,15.71,,,,,13.24,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,13.09,,,,,,,,,,,,,,,20.57,,,,,22.36,,,,,22.17,,,26.35,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,20.99,,,,,,,,,,,,,,,,,,,,,,27.12,,,,,29.5,,,,,30.72,,,,32.14,
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.142,,,,,,,,,,,,,3.965,,,4.046,,,,,,,3.395,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,43.2,,,,,48.24,,,,,52.8,,,,,,,52.99,,,54.05,,,,,,,71.14,,,,,,,,49.68,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7194,,,,,,,,,,,1.051,,,,,,,,,,,,,,1.751,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9319999999999995,,,,,,,,,,,,,5.7989999999999995,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4279,,,,,,0.7601,,,,0.8157,,,,,,,0.8616,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
