223,Turkey,25.5633,25.5633,25.5633,25.5633,27.6567,128.3,30.46,35.3667,35.06229419,41.26127163,47.54912229
213,Turkmenistan,125.2,125.2,125.2,125.2,128.3,143.5,143.5,143.5,73.56711593,69.58926375,62.71661374
226,Uganda,2.009,2.188,2.367,2.546,2.725,4.366,5.828,5.828,298.0465589,389.368405,501.29448
230,Ukraine,28.68,28.68,28.68,28.68,23.68,19.53,19.24,15.965,32.91889752,33.22992228,28.73639896
229,United Kingdom,22.98,19.61,20.49,20.61,23.76,20.685,14.065,14.015,29.43290708,30.63455527,36.69565217
231,United States of America,32.8,31.135,29.47,29.74,30.01,30.33,26.53,28.16,28.56337136,28.43536122,28.43536122
234,Uruguay,5.423875433,6.100188739,6.776502045,7.452815351,9.786,8.805441963,9.481755269,10.15806858,8.846939988,8.627885859,7.435954783
235,Uzbekistan,154.167,154.167,154.167,154.167,154.133,141,144.5,148,135.9183316,130.4680878,126.5095752
236,Venezuela (Bolivarian Republic of),1.6976,2.0282,2.3588,2.6894,3.02,5.28,7.54,7.54,6.400322222,6.205655556,6.115511111
237,Viet Nam,8.385,10.03,12.055,14.08,16.105,18.13,18.13,18.13,17.42685493,17.44693614,16.25470653
251,Zambia,2.99633,2.99633,2.99633,2.99633,2.91567,2.835,2.835,2.835,28.16276655,33.59058642,35.02727273
181,Zimbabwe,18.4575,18.4575,18.4575,25.465,32.4725,36.495,33.51,33.51,80.25626904,155.1365732,203.5378124
