"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Nauru",148,"Arable land area",4101,1992,0.0,"E","",""
"Nauru",148,"Arable land area",4101,1997,0.0,"E","",""
"Nauru",148,"Arable land area",4101,2002,0.0,"E","",""
"Nauru",148,"Arable land area",4101,2007,0.0,"E","",""
"Nauru",148,"Arable land area",4101,2012,0.0,"E","",""
"Nauru",148,"Arable land area",4101,2013,0.0,"E","",""
"New Zealand",156,"Arable land area",4101,1962,2990.0,"E","",""
"New Zealand",156,"Arable land area",4101,1967,2975.0,"E","",""
"New Zealand",156,"Arable land area",4101,1972,2951.0,"E","",""
"New Zealand",156,"Arable land area",4101,1977,2736.0,"E","",""
"New Zealand",156,"Arable land area",4101,1982,2547.0,"E","",""
"New Zealand",156,"Arable land area",4101,1987,2616.0,"E","",""
"New Zealand",156,"Arable land area",4101,1992,2075.0,"E","",""
"New Zealand",156,"Arable land area",4101,1997,1555.0,"E","",""
"New Zealand",156,"Arable land area",4101,2002,476.0,"E","",""
"New Zealand",156,"Arable land area",4101,2007,431.0,"E","",""
"New Zealand",156,"Arable land area",4101,2012,509.0,"E","",""
"New Zealand",156,"Arable land area",4101,2016,570.0,"E","",""
"Niue",160,"Arable land area",4101,1962,1.0,"E","",""
"Niue",160,"Arable land area",4101,1967,1.0,"E","",""
"Niue",160,"Arable land area",4101,1972,1.0,"E","",""
"Niue",160,"Arable land area",4101,1977,1.0,"E","",""
"Niue",160,"Arable land area",4101,1982,1.0,"E","",""
"Niue",160,"Arable land area",4101,1987,1.0,"E","",""
"Niue",160,"Arable land area",4101,1992,1.0,"E","",""
"Niue",160,"Arable land area",4101,1997,1.0,"E","",""
"Niue",160,"Arable land area",4101,2002,1.0,"E","",""
"Niue",160,"Arable land area",4101,2007,1.0,"E","",""
"Niue",160,"Arable land area",4101,2012,1.0,"E","",""
"Niue",160,"Arable land area",4101,2014,1.0,"E","",""
"Palau",180,"Arable land area",4101,1962,0.7273,"E","",""
"Palau",180,"Arable land area",4101,1967,0.7273,"E","",""
"Palau",180,"Arable land area",4101,1972,0.7273,"E","",""
"Palau",180,"Arable land area",4101,1977,0.7273,"E","",""
"Palau",180,"Arable land area",4101,1982,0.9091,"E","",""
"Palau",180,"Arable land area",4101,1987,0.9091,"E","",""
"Palau",180,"Arable land area",4101,1992,1.0,"E","",""
"Palau",180,"Arable land area",4101,1997,1.0,"E","",""
"Palau",180,"Arable land area",4101,2002,1.0,"E","",""
"Palau",180,"Arable land area",4101,2007,1.0,"E","",""
"Palau",180,"Arable land area",4101,2012,1.0,"E","",""
"Palau",180,"Arable land area",4101,2016,1.0,"E","",""
"Samoa",244,"Arable land area",4101,1962,11.0,"E","",""
"Samoa",244,"Arable land area",4101,1967,11.0,"E","",""
"Samoa",244,"Arable land area",4101,1972,13.0,"E","",""
"Samoa",244,"Arable land area",4101,1977,15.0,"E","",""
"Samoa",244,"Arable land area",4101,1982,16.0,"E","",""
"Samoa",244,"Arable land area",4101,1987,17.7,"E","",""
"Samoa",244,"Arable land area",4101,1992,17.0,"E","",""
"Samoa",244,"Arable land area",4101,1997,17.0,"E","",""
"Samoa",244,"Arable land area",4101,2002,13.0,"E","",""
"Samoa",244,"Arable land area",4101,2007,10.0,"E","",""
"Samoa",244,"Arable land area",4101,2012,8.0,"E","",""
"Samoa",244,"Arable land area",4101,2016,8.0,"E","",""
"Solomon Islands",25,"Arable land area",4101,1962,10.0,"E","",""
