Area,YearBin,gdp-2_pop2,gdp-2_pop0,gdp0_pop2,gdp0_pop0,gdp2_pop2,gdp2_pop0
Azerbaijan,1990,71.52317880794702,71.52317880794702,71.52317880794702,71.52317880794702,71.52317880794702,71.52317880794702
Azerbaijan,1995,55.2317880794702,55.2317880794702,55.2317880794702,55.2317880794702,55.2317880794702,55.2317880794702
Azerbaijan,2000,44.459161147902876,44.459161147902876,44.459161147902876,44.459161147902876,44.459161147902876,44.459161147902876
Azerbaijan,2005,54.17218543046358,54.17218543046358,54.17218543046358,54.17218543046358,54.17218543046358,54.17218543046358
Azerbaijan,2010,52.8476821192053,52.8476821192053,52.8476821192053,52.8476821192053,52.8476821192053,52.8476821192053
Azerbaijan,2015,56.42384105960265,56.42384105960265,56.42384105960265,56.42384105960265,56.42384105960265,56.42384105960265
Azerbaijan,2020,35.210609983746785,40.79974954176051,35.210609983746785,40.79974954176051,35.09140468573354,40.56133894573403
Azerbaijan,2025,34.59666590721993,36.404311719832634,34.59666590721993,36.404311719832634,37.094164067632,37.15957294131902
Azerbaijan,2030,33.71141387662498,36.067269292061724,36.71686886804024,36.80678364084759,37.0453211613932,36.68161807793369
Bangladesh,1980,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929
Bangladesh,1985,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929
Bangladesh,1990,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929
Bangladesh,1995,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929
Bangladesh,2000,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929
Bangladesh,2005,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929
Bangladesh,2010,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929
Bangladesh,2015,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929,5.723631721716929
Bangladesh,2020,9.109754800276576,8.908808042125413,9.109754800276576,8.908808042125413,9.079915961916916,8.878969203765752
Bangladesh,2025,14.313263478892956,8.771740864847612,14.313263478892956,8.881203127493214,14.918887293229076,9.486826941829332
Bangladesh,2030,27.449887417335955,9.685539776253032,30.41994220165594,9.919463503714336,31.001294257397653,10.430039182312996
Belarus,1980,6.526038233355306,6.526038233355306,6.526038233355306,6.526038233355306,6.526038233355306,6.526038233355306
Belarus,1985,6.526038233355306,6.526038233355306,6.526038233355306,6.526038233355306,6.526038233355306,6.526038233355306
